"scrape time";"revision";"deploy time"
"2020-05-19 23:40:56";"fcc7fe5+Switch+rest-go+from+bsc-aks+to+minikube";"2020-05-19+23:16:26"
"2020-05-19 23:40:56";"50be5c1+Enable+rest-go+on+bsc-aks";"2020-05-19+23:13:38"
"2020-05-19 23:40:56";"f0a049d+Disable+rest-go+all+together";"2020-05-19+22:31:51"
"2020-05-19 23:40:56";"04d42c5+Disable+rest-go+on+minikube";"2020-05-19+22:24:10"
"2020-05-19 23:40:56";"aea768b+Enable+rest-go+on+bsc-aks";"2020-05-19+22:21:56"
