"Series";"Time";"Value"
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:41:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:41:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:42:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:43:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:44:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:45:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:46:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:47:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:48:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:49:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:50:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:51:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:52:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:53:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:20";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:30";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:40";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:54:50";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:55:00";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:55:10";null
"liveness-http-6dffcb9695-qsq5b on 172.17.0.4:8088";"2020-05-19 20:55:20";null
