"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 20:51:30";null
"liveness-http on minikube";"2020-05-19 20:51:35";null
"liveness-http on minikube";"2020-05-19 20:51:40";null
"liveness-http on minikube";"2020-05-19 20:51:45";null
"liveness-http on minikube";"2020-05-19 20:51:50";null
"liveness-http on minikube";"2020-05-19 20:51:55";null
"liveness-http on minikube";"2020-05-19 20:52:00";null
"liveness-http on minikube";"2020-05-19 20:52:05";null
"liveness-http on minikube";"2020-05-19 20:52:10";null
"liveness-http on minikube";"2020-05-19 20:52:15";null
"liveness-http on minikube";"2020-05-19 20:52:20";null
"liveness-http on minikube";"2020-05-19 20:52:25";null
"liveness-http on minikube";"2020-05-19 20:52:30";null
"liveness-http on minikube";"2020-05-19 20:52:35";null
"liveness-http on minikube";"2020-05-19 20:52:40";null
"liveness-http on minikube";"2020-05-19 20:52:45";null
"liveness-http on minikube";"2020-05-19 20:52:50";null
"liveness-http on minikube";"2020-05-19 20:52:55";null
"liveness-http on minikube";"2020-05-19 20:53:00";null
"liveness-http on minikube";"2020-05-19 20:53:05";null
"liveness-http on minikube";"2020-05-19 20:53:10";null
"liveness-http on minikube";"2020-05-19 20:53:15";null
"liveness-http on minikube";"2020-05-19 20:53:20";null
"liveness-http on minikube";"2020-05-19 20:53:25";null
"liveness-http on minikube";"2020-05-19 20:53:30";null
"liveness-http on minikube";"2020-05-19 20:53:35";null
"liveness-http on minikube";"2020-05-19 20:53:40";null
"liveness-http on minikube";"2020-05-19 20:53:45";null
"liveness-http on minikube";"2020-05-19 20:53:50";null
"liveness-http on minikube";"2020-05-19 20:53:55";null
"liveness-http on minikube";"2020-05-19 20:54:00";null
"liveness-http on minikube";"2020-05-19 20:54:05";null
"liveness-http on minikube";"2020-05-19 20:54:10";null
"liveness-http on minikube";"2020-05-19 20:54:15";null
"liveness-http on minikube";"2020-05-19 20:54:20";null
"liveness-http on minikube";"2020-05-19 20:54:25";null
"liveness-http on minikube";"2020-05-19 20:54:30";null
"liveness-http on minikube";"2020-05-19 20:54:35";null
"liveness-http on minikube";"2020-05-19 20:54:40";null
"liveness-http on minikube";"2020-05-19 20:54:45";null
"liveness-http on minikube";"2020-05-19 20:54:50";null
"liveness-http on minikube";"2020-05-19 20:54:55";null
"liveness-http on minikube";"2020-05-19 20:55:00";null
"liveness-http on minikube";"2020-05-19 20:55:05";null
"liveness-http on minikube";"2020-05-19 20:55:10";null
"liveness-http on minikube";"2020-05-19 20:55:15";null
"liveness-http on minikube";"2020-05-19 20:55:20";null
"liveness-http on minikube";"2020-05-19 20:55:25";null
"liveness-http on minikube";"2020-05-19 20:55:30";null
"liveness-http on minikube";"2020-05-19 20:55:35";null
"liveness-http on minikube";"2020-05-19 20:55:40";null
"liveness-http on minikube";"2020-05-19 20:55:45";null
"liveness-http on minikube";"2020-05-19 20:55:50";null
"liveness-http on minikube";"2020-05-19 20:55:55";null
"liveness-http on minikube";"2020-05-19 20:56:00";null
"liveness-http on minikube";"2020-05-19 20:56:05";null
